,diferencia,T,xT
221,-8.765041698666726,0,-0.0
222,-17.024973222989058,0,-0.0
223,-75.4291450680023,0,-0.0
224,-11.303290670962737,0,-0.0
225,-8.422859622150328,0,-0.0
226,-57.21404674449617,0,-0.0
227,-28.24146491970782,0,-0.0
228,-52.38281984183209,0,-0.0
229,-57.311923062549056,0,-0.0
230,37.344087944969345,1,37.344087944969345
231,25.01395868230039,1,25.01395868230039
232,21.44955256506592,1,21.44955256506592
233,-29.584047359401776,0,-0.0
234,-47.91295867365598,0,-0.0
235,1.2739318501213703,1,1.2739318501213703
236,17.06682979048784,1,17.06682979048784
237,36.09887280425703,1,36.09887280425703
238,11.3019508057676,1,11.3019508057676
239,16.231171740475116,1,16.231171740475116
240,18.93222061734339,1,18.93222061734339
241,-16.090164123991087,0,-0.0
242,-42.04017936511072,0,-0.0
243,25.145689597427822,1,25.145689597427822
244,-7.2314061384725195,0,-0.0
245,-1.986370885892417,0,-0.0
246,-13.749653835502631,0,-0.0
247,23.93689986282579,1,23.93689986282579
248,68.24869482676792,1,68.24869482676792
249,30.91966173361522,1,30.91966173361522
250,-48.63156703539197,0,-0.0
251,-14.080659846821272,0,-0.0
252,4.636785162287481,1,4.636785162287481
253,72.30483271375465,1,72.30483271375465
254,-2.874186550976139,0,-0.0
255,3.3249370277078083,1,3.3249370277078083
256,-29.010989010989015,0,-0.0
257,48.510919920582396,1,48.510919920582396
258,41.18798955613577,1,41.18798955613577
259,45.231378668747375,1,45.231378668747375
260,-56.383587827337266,0,-0.0
261,57.642276422764226,1,57.642276422764226
262,18.113580948840465,1,18.113580948840465
263,-19.897395073194463,0,-0.0
264,54.0506087067372,1,54.0506087067372
265,22.567856151024827,1,22.567856151024827
266,44.748628884826324,1,44.748628884826324
267,7.087511394712854,1,7.087511394712854
268,-1.9585898153329604,0,-0.0
269,13.485257840949135,1,13.485257840949135
270,-19.550489299924724,0,-0.0
271,24.108658743633278,1,24.108658743633278
272,6.468716861081654,1,6.468716861081654
273,53.01624129930394,1,53.01624129930394
274,-6.995144235273592,0,-0.0
275,74.44314185228606,1,74.44314185228606
276,65.54110157763631,1,65.54110157763631
277,-10.58267716535433,0,-0.0
278,-9.208384870776642,0,-0.0
279,-4.923232437840709,0,-0.0
280,15.56850440759002,1,15.56850440759002
281,61.36552872606161,1,61.36552872606161
282,55.9575345289631,1,55.9575345289631
283,36.287996153640684,1,36.287996153640684
284,16.411042944785276,1,16.411042944785276
285,67.88018433179724,1,67.88018433179724
286,30.30851566189202,1,30.30851566189202
287,42.074038917892736,1,42.074038917892736
288,41.857335127860026,1,41.857335127860026
289,25.18856689162366,1,25.18856689162366
290,-10.7392759355035,0,-0.0
291,26.373840897999024,1,26.373840897999024
292,58.104631217838765,1,58.104631217838765
293,-45.41253489939348,0,-0.0
294,46.90638810767376,1,46.90638810767376
295,-0.3310487090763907,0,-0.0
296,68.36437718277067,1,68.36437718277067
